title,release year,genre,key words,plot,run time /min,number of votes,rating
Clear History,2013,Comedy,original-story|making-amends|chechen|revenge|beard|electric-car|billionaire|martha's-vineyard|insult|one-lane-road|threat|criminal|docks|setting-a-table|secret-meeting|rumor|sabotage|breakup|dunking-booth|surprise-party|coffee-shop|big-city|small-town|reference-to-lord-of-the-rings|pulled-over-by-police|sobriety-test|rich|water-skiing|prison|fire|reference-to-ayn-rand|construction-site|artwork|painting|swing-set|fair|concert|punched-in-the-face|married-couple|ex-girlfriend|motorcycle-accident|car-accident|etiquette|argument|card-game|restaurant|long-haired-man|assumed-identity|mansion|massachusetts|san-jose-california|car-company|explosion,"A disgraced former marketing executive plots revenge against his former boss, who made billions from the electric car company they had started together.",101,16493,6.5
Battlestar Galactica: Blood & Chrome,2012,Action|Sci-Fi,starship-name-in-title|battlestar-starship|outer-space|battlestar|space-combat|starfighter|starship|cylon-raider|colonial-viper|space-opera|five-word-title|colon-in-title|ampersand-in-title,The adventures of young William Adama in the First Cylon War.,91,16375,7.0
7 Days in Hell,2015,Comedy|Sport,tennis-player|tennis|male-pubic-hair|pubic-hair|streaker|parody|tennis-match|naked-in-public|nudity|male-nudity|male-frontal-nudity|queen-elizabeth-ii-character|male-full-frontal-nudity|mockumentary|female-nudity|male-rear-nudity,A fictional documentary-style expose on the rivalry between two of the greatest tennis players of all-time who battled it out in a 2001 match that lasted seven days.,43,15160,7.1
Camp Rock 2: The Final Jam,2010,Comedy|Family|Music|Musical|Romance,romeo-and-juliet|disney-channel-original-movie|second-part|sequel|female-protagonist,"Mitchie is back with her friends at Camp Rock, ready to perform music, dance and have a good time. Her ""boyfriend"" is there as well. A new camp has opened across the lake, creating an atmosphere of competition or feud.",97,15023,5.2
Prayers for Bobby,2009,Biography|Drama|Romance,based-on-true-story|homosexuality|suicide|grief|gay-rights|gay-pride|religious-fanaticism|homosexual|homosexual-son|gay-relationship|gay-slur|teen-suicide|homophobia|gay|prayer|intolerance|brother-brother-relationship|self-esteem|searching-for-the-truth|religious-conflict|rejection|activism|religion|prejudice|coming-out|christianity|biblical-interpretation|acceptance|teenage-boy|mother-son-relationship|gay-teenager|based-on-book|gay-kiss|gay-bashing|gay-brother|pflag-meeting|gay-parade|bare-chested-male|large-family|grandmother|parents-families-and-friends-of-lesbians-and-gays|council-meeting|minister|town-council|payphone|pay-phone|based-on-real-person|woman|nightclub|kiss|what-happened-to-epilogue|damnation|betrayal|change-of-heart|brother-sister-relationship|argument|pain|dancing|television-broadcast|questioning|posthumously-read-diary|letter-to-god|journal-writing|husband-wife-relationship|guilt|gay-bar|freedom|ends-with-real-life-photos|crying-in-bathroom-stall|condemnation|cheating-boyfriend|bible-quote|san-francisco-california|tragic-event|telephone-call|therapy|portland-oregon|high-school|funeral|family-feud|falling-from-height|crying|cousin-cousin-relationship|bible|transformation|character-name-in-title,"True story of Mary Griffith, gay rights crusader, whose teenage son committed suicide due to her religious intolerance. Based on the book of the same title by Leroy Aarons.",90,14610,8.1
Too Big to Fail,2011,Biography|Drama|History,financial|global-economic-crisis-of-2008|year-2008|financial-system|economic-crisis|financial-panic|capitalism|president|greed|new-york-city-new-york|sleeping-pill|cell-phone|meltdown|bailout|congress|lehman-brothers|buffet|behind-the-scenes|secretary-of-the-treasury|banker|aig|moral-hazard|bear-stearns|kleptocracy|ceo|subprime-loan|crony-capitalism|plutocracy|troubled-asset-relief-program|deregulation|conflict-of-interest|corrupting-influence-of-capitalism|corporate-crime|credit-crisis|business-corruption|accountability|bank-fraud|economics|recession|financial-debt|financial-ruin|mortgage-crisis|telephone-call|press-agent|aide|financial-market|goldman-sachs|presidential-campaign|citibank|bank-of-america|wells-fargo|merrill-lynch|current-events|press|political-aide|power|washington-d.c.|federal-reserve-bank|billionaire|christian-scientist|fact|financial-crisis|bankruptcy|based-on-true-story,Chronicles the financial meltdown of 2008 and centers on Treasury Secretary Henry Paulson.,99,14353,7.3
Deadwood: The Movie,2019,Drama|Western,sequel|rebels,"As the residents of Deadwood gather to commemorate Dakota's statehood in 1889, saloon owner Al Swearengen and Marshal Seth Bullock clash with Senator George Hearst.",110,14100,7.5
Wizards of Waverly Place: The Movie,2009,Adventure|Comedy|Drama|Family|Fantasy,caribbean-island|magical-spell|wish-fulfillment|spell|vacation|race-against-time|wizard|family-vacation|human-becoming-an-animal|character-can-see-subtitle|windsurfing|treasure-map|treasure-hunt|traitor|torch|talking-to-an-animal|subway|sibling-rivalry|secret-passageway|rebelling-against-parent|quicksand|parrot|parrot-on-one's-shoulder|new-york-city|mother-son-relationship|mother-daughter-relationship|memory-loss|magician|husband-wife-relationship|hereditary-gift-of-witchcraft|goat|fear-of-spiders|father-son-relationship|father-daughter-relationship|double-cross|diner|cave|brother-sister-relationship|brother-brother-relationship|bird|airplane|witch|teenager|sibling|magic|magic-wand|journey|dysfunctional-family|disney-channel-original-movie|based-on-tv-series|surprise-ending,A young wizard conjures a spell that puts her family in jeopardy.,94,13812,6.2
Descendants,2015,Comedy|Family|Fantasy|Musical,snow-white-character|belle-character|fairy-godmother-character|ravenna-character|regina-mills-character|the-beast-character|cruella-de-vil-character|male-objectification|bare-chested-male|man-in-swimsuit|jafar-character|maleficent-character|disney-channel-original-movie|good-versus-evil|wicked-witch|evil-witch|witch|witchcraft|fairy-godmother|high-school|teenage-protagonist,The teenage son of the king and queen of Auradon offers the trouble-making children of villains a chance to attend prep school in the kingdom.,112,13616,6.4
Page Eight,2011,Drama|Mystery|Thriller,mi5|spy|political-thriller|blackmail|prime-minister|intelligence-service|politician|secret-dossier|politics|title-spoken-by-character|home-secretary|english-politics|dead-brother|bbc-news|death-of-brother|surveillance|family-argument|art-show|father-daughter-relationship|safe-house|funeral|information-leak|journalist|london-england|intelligence-analyst|intelligence-agency|heart-attack|country-house|two-word-title|jazz|reference-to-lester-young|reference-to-billie-holiday|older-man-younger-woman|flat|airport|lock-pick|friends-with-ex-wife|chinese-food|troubled-artist|website|waiter|friends-with-neighbor|security-code|number-in-title,"Johnny Worricker (Bill Nighy) is a long-serving MI5 officer. His boss and best friend Benedict Baron (Sir Michael Gambon) dies suddenly, leaving behind him an inexplicable file, threatening the stability of the organization. Meanwhile, a seemingly chance encounter with Johnny's striking next-door neighbor and political activist Nancy Pierpan (Rachel Weisz) seems too good to be true. Johnny is forced to walk out of his job, and then out of his identity to find out the truth. Set in London and Cambridge, this is a contemporary spy movie for the BBC, which addresses intelligence issues and moral dilemmas particular to the new century.",99,13583,6.8
Lemonade Mouth,2011,Comedy|Drama|Family|Music|Musical,title-directed-by-female|lemonade|high-school|detention|vending-machine|f-rated|teen-movie|teacher|soccer|father-daughter-relationship|cat|school-assembly|narration|violin|guitar|title-spoken-by-character,"Five high school kids, Olivia, Wendall, Stella, Charlie, and Mo, meet in detention and start a band based on the lemonade vending machine outside the detention room.",103,12908,6.9
Blue Lagoon: The Awakening,2012,Drama|Romance,lost-at-sea|island|stranded|trinidad|teenager|rescue|high-school-student|sister-sister-relationship|bare-chested-male|true-love|star-crossed-lovers|party|pregnancy|funeral|flare-gun|sex-scene|shipwrecked|death-of-parent|ocean,Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,85,12582,5.5
Taking Chance,2009,Drama|War,chance-phelps|escort|wyoming|gratitude|respect|hometown|iraq|dubois-wyoming|hearse|military|military-escort|star-spangled-banner|uniform|dead-soldier|casket|closed-casket|ramstein-air-base-germany|quantico-virginia|quantico-marine-corps-base|hearse-driver|playing-pool|pool-table|cheyenne-wyoming|ceremony|ritual|reference-to-st.-christopher|saint-christopher-medal|gun-salute|rifle|cemetery|graveyard|boy-scouts|horse-and-wagon|horse|good-friday|mailbox|voice-over-narration|ground-crew|private-first-class|letter-of-condolence|phd-in-music|music-student|ramadi-iraq|kuwait|baghdad-iraq|birthday|improvised-explosive-device|reference-to-george-w.-bush|children|girl|boy|reverence|self-discovery|ice|running|african-american|black-american|salt-lake-city-utah|rain|casualty-list|basketball-court|airplane-stewardess|text-messaging|cell-phone|telephone-call|airport-cargo-worker|standing-guard-over-a-coffin|sleeping-next-to-a-coffin|tarmac|airline|airport-ground-crew|airport-security-guard|security-guard|airport|sleepmask|crucifix|rochester-minnesota|minneapolis-minnesota|philadelphia-pennsylvania|military-psychiatrist|psychiatrist|post-911|locker-room|weightlifting|flag-draped-coffin|earphones|push-ups|barcode|billings-montana|flash-camera|camera|x-ray|personal-effects|underwear|scraping-ice-off-a-car-windshield|clifton-colorado|wristwatch|dog-tags|cross|dignity|computer|explosion|shooting|blood|sergeant|driver|musician|military-enlistment|male-with-long-hair|remorse|guilt|death-of-stepson|stepfather-stepson-relationship|stepmother-stepson-relationship|divorced-parents|honor|medal|slow-motion-scene|boots|cleaning-a-dead-body|washing-a-dead-body|mortician|funeral-home|northwest-airlines|home-movie|photograph|military-veteran|drink|drinking|beer|bar|handshake|veterans-of-foreign-wars|vfw|operation-desert-storm|brother-brother-relationship|hotel|truck-driver|pickup-truck|semi-truck|truck|bicycle|van|mortuary|dover-air-force-base-delaware|military-officer|homecoming|year-2004|death-of-brother|military-uniform|flashback|sadness|tears|crying|small-town|memory|casualty-of-war|american-flag|prayer|church|teenage-boy|dead-body|corpse|tv-news|watching-tv|documentary-footage|hero|military-salute|salute|operation-iraqi-freedom|iraq-war|friend|friendship|brother-sister-relationship|father-daughter-relationship|mother-daughter-relationship|husband-wife-relationship|family-relationships|father-son-relationship|mother-son-relationship|u.s.-soldier|soldier|death|lieutenant-colonel|u.s.-military|u.s.-marine|u.s.-marine-corps|on-the-road|mourning|loss-of-son|loss-of-loved-one|loss-of-friend|funeral|dead-man|coming-home|coffin|based-on-essay|airplane|title-appears-in-writing|witness|death-of-friend|death-of-son|based-on-true-story,"Based on real-life events, Lt. Col. Michael Strobl, a volunteer military escort officer, accompanies the body of 19-year-old Marine Chance Phelps back to his hometown of Dubois, Wyoming.",77,12563,7.4
Beauty & the Briefcase,2010,Comedy|Romance,job-interview|freelance-writer|reference-to-paris-france|reference-to-anne-hathaway|business-life|reference-to-carl-bernstein|reference-to-bob-woodward|reference-to-google|cover-story|magazine-article|reference-to-the-wimbledon-tennis-championships|fashion-writer|looking-for-love|magazine-assignment|job-assignment|aspiring-writer|magazine-editor|investment-banking|undercover-journalist|fashion-magazine|fashion-industry|fashion-photographer|reference-to-cosmopolitan-magazine,A freelance writer looking for romance sells a story to Cosmopolitan magazine about finding love in the workplace and goes undercover at a Finance Company.,83,12419,5.5
All the Way,2016,Biography|Drama|History,j.-edgar-hoover-character|lyndon-b.-johnson-character|jacqueline-kennedy-character|dallas-texas|year-1963|african-american|john-f.-kennedy-assassination|first-lady|martin-luther-king-jr.-character|the-white-house|african-american-vote|president|civil-rights-act|civil-rights|voting-rights|vice-president|congress|senate|senator|presidential-candidate|political-candidate|politics|election|presidential-election|campaign|presidential-campaign|campaigning|political-campaign|election-campaign|vietnam-war|vietnam|secretary-of-defense|march|rally|protest|civil-liberties|commander-in-chief|democrat-leader|american-politics|all-the-way|political-history|oval-office|hubert-humphrey|democratic-national-convention|democrat-party|airforce-one|discrimination|prejudice|racial-issues|democrat|democrat-president|american-political-history|racial-prejudice|racism|racial-tension|racial-discrimination|race-relations|activism|civil-rights-movement,Lyndon Baines Johnson becomes the President of the United States in the chaotic aftermath of John F. Kennedy's assassination and spends his first year in office fighting to pass the Civil Rights Act.,132,12123,7.3
StarStruck,2010,Comedy|Family|Music|Romance,pop-star|paparazzi|grandmother|romantic-montage|sunglasses|happy-ending|romantic-fantasy|apology|mixed-race|biracial-family|school-dance|teen-magazine|recording-session|pop-concert|opinionated|hollywood-sign|malibu-beach|malibu-california|quicksand|night-club|pop-idol|guitar|incognito|obsessed-fan|fan-girl|mud|hiding|disguise|dishonesty|lying|invasion-of-privacy|pink-car|swamp|beach|celebrity|famous-person|obsession|obsessive-desire|disney-channel-original-movie|sister-sister-relationship|female-protagonist|wet-jeans|los-angeles-california,"Jessica Olsen was expecting a normal trip to California with her family to visit her grandma. However, she agrees to join her older sister to find the famous pop star, Christopher Wilde.",90,11761,6.1
